,algo,env_id,seed,episode_index,episodic_return,episode_length,max_episode_steps,duration_rate,weights
218,sac,Pusher-v5,3,18,-30.965139671064588,100,100,1.0,ga2
219,sac,Pusher-v5,3,19,-43.09907118224617,100,100,1.0,ga2
220,sac,Pusher-v5,3,20,-41.03816060282391,100,100,1.0,ga2
221,sac,Pusher-v5,3,21,-34.31117525120006,100,100,1.0,ga2
222,sac,Pusher-v5,3,22,-48.18235309404503,100,100,1.0,ga2
223,sac,Pusher-v5,3,23,-33.43446804604034,100,100,1.0,ga2
224,sac,Pusher-v5,3,24,-39.1119097748452,100,100,1.0,ga2
225,sac,Pusher-v5,3,25,-34.34551700037922,100,100,1.0,ga2
226,sac,Pusher-v5,3,26,-40.56177229497436,100,100,1.0,ga2
227,sac,Pusher-v5,3,27,-36.27962384295016,100,100,1.0,ga2
228,sac,Pusher-v5,3,28,-33.38047888210896,100,100,1.0,ga2
229,sac,Pusher-v5,3,29,-36.48613059444657,100,100,1.0,ga2
230,sac,Pusher-v5,3,30,-35.845100836396426,100,100,1.0,ga2
231,sac,Pusher-v5,3,31,-40.082387675939714,100,100,1.0,ga2
232,sac,Pusher-v5,3,32,-32.5693950015407,100,100,1.0,ga2
233,sac,Pusher-v5,3,33,-37.98460976662015,100,100,1.0,ga2
234,sac,Pusher-v5,3,34,-38.72325071654719,100,100,1.0,ga2
235,sac,Pusher-v5,3,35,-36.35452075193693,100,100,1.0,ga2
236,sac,Pusher-v5,3,36,-39.18559813708807,100,100,1.0,ga2
237,sac,Pusher-v5,3,37,-33.37614288172372,100,100,1.0,ga2
238,sac,Pusher-v5,3,38,-34.72835833694106,100,100,1.0,ga2
239,sac,Pusher-v5,3,39,-37.41513844304202,100,100,1.0,ga2
240,sac,Pusher-v5,3,40,-34.53617617318723,100,100,1.0,ga2
241,sac,Pusher-v5,3,41,-39.794140135274574,100,100,1.0,ga2
242,sac,Pusher-v5,3,42,-28.339889214474148,100,100,1.0,ga2
243,sac,Pusher-v5,3,43,-33.98385512095177,100,100,1.0,ga2
244,sac,Pusher-v5,3,44,-46.81771886610562,100,100,1.0,ga2
245,sac,Pusher-v5,3,45,-29.192224535680577,100,100,1.0,ga2
246,sac,Pusher-v5,3,46,-30.205928740062976,100,100,1.0,ga2
247,sac,Pusher-v5,3,47,-33.1452483480373,100,100,1.0,ga2
248,sac,Pusher-v5,3,48,-41.16375852650231,100,100,1.0,ga2
249,sac,Pusher-v5,3,49,-49.3760346786168,100,100,1.0,ga2
250,sac,Pusher-v5,3,50,-40.96040412040865,100,100,1.0,ga2
251,sac,Pusher-v5,3,51,-34.835784749966734,100,100,1.0,ga2
252,sac,Pusher-v5,3,52,-38.52675355884359,100,100,1.0,ga2
253,sac,Pusher-v5,3,53,-35.02467781372266,100,100,1.0,ga2
254,sac,Pusher-v5,3,54,-43.66780157176162,100,100,1.0,ga2
255,sac,Pusher-v5,3,55,-34.533888728853704,100,100,1.0,ga2
256,sac,Pusher-v5,3,56,-28.331401527625356,100,100,1.0,ga2
257,sac,Pusher-v5,3,57,-49.56027461101778,100,100,1.0,ga2
258,sac,Pusher-v5,3,58,-32.56196072815274,100,100,1.0,ga2
259,sac,Pusher-v5,3,59,-29.688942174348053,100,100,1.0,ga2
260,sac,Pusher-v5,3,60,-32.85697201340479,100,100,1.0,ga2
261,sac,Pusher-v5,3,61,-40.68593417343508,100,100,1.0,ga2
262,sac,Pusher-v5,3,62,-40.44459872391035,100,100,1.0,ga2
263,sac,Pusher-v5,3,63,-39.10154640149632,100,100,1.0,ga2
264,sac,Pusher-v5,3,64,-45.80497962540621,100,100,1.0,ga2
265,sac,Pusher-v5,3,65,-30.173468828155737,100,100,1.0,ga2
266,sac,Pusher-v5,3,66,-30.618619274244896,100,100,1.0,ga2
267,sac,Pusher-v5,3,67,-31.364193543418057,100,100,1.0,ga2
268,sac,Pusher-v5,3,68,-33.83400862973541,100,100,1.0,ga2
269,sac,Pusher-v5,3,69,-36.563526926353205,100,100,1.0,ga2
270,sac,Pusher-v5,3,70,-33.392487345249485,100,100,1.0,ga2
271,sac,Pusher-v5,3,71,-41.01389038344696,100,100,1.0,ga2
272,sac,Pusher-v5,3,72,-39.94832470307902,100,100,1.0,ga2
273,sac,Pusher-v5,3,73,-30.636613898825004,100,100,1.0,ga2
274,sac,Pusher-v5,3,74,-36.43643810784006,100,100,1.0,ga2
275,sac,Pusher-v5,3,75,-32.85186954124708,100,100,1.0,ga2
276,sac,Pusher-v5,3,76,-33.99691709995216,100,100,1.0,ga2
277,sac,Pusher-v5,3,77,-34.84752933368969,100,100,1.0,ga2
278,sac,Pusher-v5,3,78,-35.527934611250096,100,100,1.0,ga2
279,sac,Pusher-v5,3,79,-36.75467688923397,100,100,1.0,ga2
280,sac,Pusher-v5,3,80,-47.70777665009821,100,100,1.0,ga2
281,sac,Pusher-v5,3,81,-28.18690165399966,100,100,1.0,ga2
282,sac,Pusher-v5,3,82,-40.38890516054283,100,100,1.0,ga2
283,sac,Pusher-v5,3,83,-32.425614202277075,100,100,1.0,ga2
284,sac,Pusher-v5,3,84,-27.160819403075507,100,100,1.0,ga2
285,sac,Pusher-v5,3,85,-33.87051287576935,100,100,1.0,ga2
286,sac,Pusher-v5,3,86,-34.958312128532896,100,100,1.0,ga2
287,sac,Pusher-v5,3,87,-30.008594986451907,100,100,1.0,ga2
288,sac,Pusher-v5,3,88,-34.882282812371336,100,100,1.0,ga2
