project,algo,run_id,run_name,env_id,seed,exp_name,total_timesteps,episode_index,episodic_return,episode_length,max_episode_steps,duration_rate
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,64,0.2812681443345826,9,1000,0.009
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,65,0.23034640267532228,8,1000,0.008
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,66,0.23348712019405102,8,1000,0.008
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,67,0.2707290126460452,9,1000,0.009
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,68,0.28839060979148545,9,1000,0.009
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,69,0.23702740683034293,8,1000,0.008
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,70,0.24049080646348658,8,1000,0.008
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,71,0.29572208690484164,9,1000,0.009
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,72,0.35385805703444007,10,1000,0.01
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,73,0.29442869869485594,9,1000,0.009
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,74,0.2939976568161298,9,1000,0.009
